UF;UNIDADE;UNIDADE_PADRAO_AEROPORTUARIO;CIDADE_APREENSAO;DATA;DROGA;QUANTIDADE;UNIDADE_MEDIDA;ORIGEM;lat;lon
SP;SR/PF/SP;GRU;GUARULHOS;07/27/2019;cocaina;10316;gramas;aeroporto;-23,43555641;-46,47305679
ES;SR/PF/ES;VIX;VITORIA;07/29/2019;cocaina;2000;gramas;aeroporto;-20,25805664;-40,2863884
MT;SR/PF/MT;CGB;CUIABA;07/30/2019;cocaina;4000;gramas;aeroporto;-15,65289974;-56,11669922
PR;DPF/FIG/PR;IGU;FOZ DO IGUACU;07/30/2019;cocaina;1795;gramas;aeroporto;-25,60027885;-54,48500061
RS;SR/DPF/RS;POA;PORTO ALEGRE;07/30/2019;cocaina;2726;gramas;aeroporto;-29,99440002;-51,17139816
RS;SR/DPF/RS;POA;PORTO ALEGRE;07/30/2019;cocaina;2724;gramas;aeroporto;-29,99440002;-51,17139816
SP;DPF/CAS/SP;VCP;CAMPINAS;08/04/2019;cocaina;1100;gramas;aeroporto;-23,00740051;-47,1344986
SP;DPF/CAS/SP;VCP;CAMPINAS;08/04/2019;cocaina;770;gramas;aeroporto;-23,00740051;-47,1344986
SP;DPF/CAS/SP;VCP;CAMPINAS;08/04/2019;cocaina;1000;gramas;aeroporto;-23,00740051;-47,1344986
MS;SR/PF/MS;CGR;CAMPO GRANDE;08/05/2019;maconha;15200;gramas;aeroporto;-20,46870041;-54,67250061
SP;DPF/CAS/SP;VCP;CAMPINAS;08/05/2019;cocaina;790;gramas;aeroporto;-23,00740051;-47,1344986
BA;SR/PF/BA;SSA;SALVADOR;08/06/2019;cocaina;3745;gramas;aeroporto;-12,9086113;-38,32249832
PE;SR/PF/PE;REC;RECIFE;08/06/2019;skunk;;gramas;aeroporto;-8,126489639;-34,92359924
SP;DPF/CAS/SP;VCP;CAMPINAS;08/06/2019;cocaina;4000;gramas;aeroporto;-23,00740051;-47,1344986
MS;SR/PF/MS;CGR;CAMPO GRANDE;08/08/2019;cocaina;2400;gramas;aeroporto;-20,46870041;-54,67250061
MG;SR/PF/MG;CNF;BELO HORIZONTE;08/09/2019;cocaina;6000;gramas;aeroporto;-19,62444305;-43,9719429
MG;SR/PF/MG;CNF;BELO HORIZONTE;08/09/2019;cocaina;6000;gramas;aeroporto;-19,62444305;-43,9719429
RS;SR/DPF/RS;POA;PORTO ALEGRE;08/09/2019;ecstasy;7045;comprimidos;aeroporto;-29,99440002;-51,17139816
SP;SR/PF/SP;GRU;GUARULHOS;08/09/2019;cocaina;4000;gramas;aeroporto;-23,43555641;-46,47305679
SP;DPF/CAS/SP;VCP;CAMPINAS;08/09/2019;cocaina;1000;gramas;aeroporto;-23,00740051;-47,1344986
SP;DPF/CAS/SP;VCP;CAMPINAS;08/09/2019;cocaina;2000;gramas;aeroporto;-23,00740051;-47,1344986
SP;SR/PF/SP;GRU;GUARULHOS;08/10/2019;cocaina;3633;gramas;aeroporto;-23,43555641;-46,47305679
DF;SR/PF/DF;BSB;BRASILIA;08/13/2019;maconha;12700;gramas;aeroporto;-15,86916733;-47,92083359
SP;DPF/CAS/SP;VCP;CAMPINAS;08/14/2019;cocaina;5000;gramas;aeroporto;-23,00740051;-47,1344986
SP;SR/PF/SP;GRU;GUARULHOS;08/16/2019;cocaina;5600;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;08/16/2019;cocaina;6062;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;08/17/2019;cocaina;654;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;08/17/2019;cocaina;3022;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;08/17/2019;cocaina;3481;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;08/17/2019;cocaina;2518;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;08/18/2019;cocaina;10523;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;08/19/2019;cocaina;4728;gramas;aeroporto;-23,43555641;-46,47305679
ES;SR/PF/ES;VIX;VITORIA;08/20/2019;cocaina;3195;gramas;aeroporto;-20,25805664;-40,2863884
SP;SR/PF/SP;GRU;GUARULHOS;08/20/2019;cocaina;1637;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;08/20/2019;cocaina;3055;gramas;aeroporto;-23,43555641;-46,47305679
SP;DPF/CAS/SP;VCP;CAMPINAS;08/22/2019;cocaina;6423;gramas;aeroporto;-23,00740051;-47,1344986
SP;DPF/CAS/SP;VCP;CAMPINAS;08/22/2019;cocaina;6423;gramas;aeroporto;-23,00740051;-47,1344986
CE;SR/PF/CE;FOR;FORTALEZA;08/24/2019;cocaina;;gramas;aeroporto;-3,776279926;-38,5326004
SP;SR/PF/SP;GRU;GUARULHOS;08/24/2019;cocaina;11927;gramas;aeroporto;-23,43555641;-46,47305679
RS;SR/DPF/RS;POA;PORTO ALEGRE;08/26/2019;cocaina;7446;gramas;aeroporto;-29,99440002;-51,17139816
ES;SR/PF/ES;VIX;VITORIA;08/30/2019;cocaina;1000;gramas;aeroporto;-20,25805664;-40,2863884
RS;SR/DPF/RS;POA;PORTO ALEGRE;09/02/2019;cocaina;2900;gramas;aeroporto;-29,99440002;-51,17139816
SP;SR/PF/SP;GRU;GUARULHOS;09/02/2019;cocaina;4044;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/04/2019;anfetamina;7429;comprimidos;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/04/2019;maconha;1562;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/05/2019;cocaina;2784;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/07/2019;cocaina;10025;gramas;aeroporto;-23,43555641;-46,47305679
